Pianist	Theme	Var. 1	Var. 2	Var. 3	Var. 4	Var. 5	Var. 6	Var. 7	Var. 8	Var. 9	Var. 10	Var. 11	Var. 12	Var. 13	Var. 14	Var. 15	Var. 16	Var. 17	Var. 18	Var. 19	Var. 20	Var. 21	Var. 22	Var. 23	Var. 24	Var. 25	Var. 26	Var. 27	Var. 28	Var. 29	Var. 30	Var. 31	Var. 32	Var. 33
Schnabel 1937	1,61	3,15	1,72	2,42	1,98	1,68	3,04	1,78	2,77	3,93	1,08	2,16	1,60	1,67	7,31	1,14	1,62	1,66	2,99	1,45	6,72	1,89	0,95	1,66	5,87	1,48	1,96	1,81	1,62	2,56	3,78	10,47	5,38	7,08
Shure 1948	1,60	3,30	1,71	2,50	1,95	1,71	3,18	1,85	2,76	3,89	1,02	2,19	1,52	1,76	6,93	1,05	1,59	1,66	3,20	1,43	6,51	1,86	1,02	1,55	6,58	1,42	2,01	1,73	1,68	3,16	3,94	10,25	4,76	6,69
Horszowski 1951	1,94	3,63	1,95	2,81	2,03	1,82	3,59	2,14	3,23	3,34	1,26	1,98	2,01	2,00	5,45	1,39	2,26	2,24	3,84	1,65	3,54	2,49	1,56	1,67	4,96	1,41	2,45	2,07	1,69	2,09	3,58	8,96	5,78	7,20
Richter 1951	1,87	3,54	1,59	2,62	2,17	1,81	3,40	2,20	2,02	2,88	1,35	2,44	1,65	1,94	6,78	1,42	2,12	2,17	3,52	2,00	4,41	2,90	1,60	2,00	4,83	1,60	1,69	2,03	1,93	2,45	3,84	8,58	6,55	6,07
Arrau 1952	1,57	3,19	2,02	2,92	2,01	1,68	2,95	1,94	2,64	3,10	1,11	2,11	1,91	1,60	5,80	1,19	1,76	1,68	3,77	1,52	5,12	2,41	1,27	1,78	6,79	1,50	2,58	1,89	1,77	2,22	4,46	9,00	5,27	7,43
Baumgartner 1952	1,80	3,74	1,93	2,54	2,03	2,00	3,79	1,97	2,55	3,72	1,31	2,13	2,09	2,06	6,58	1,24	1,92	2,06	3,69	1,69	3,95	2,38	1,43	1,85	4,83	1,52	2,18	1,99	1,75	2,62	4,03	8,54	5,66	6,43
Katchen 1953	1,75	2,74	1,59	2,61	2,26	1,78	3,00	2,08	2,57	3,20	1,16	1,80	1,65	1,82	9,89	1,20	2,07	2,02	3,23	1,51	3,77	2,55	1,64	1,79	3,91	1,65	1,66	1,96	1,65	2,45	3,55	10,60	6,03	6,88
Serkin 1954	1,59	3,50	1,87	2,75	1,78	1,56	3,88	2,23	3,28	3,97	1,00	2,27	1,47	1,86	5,48	0,92	1,89	2,09	3,01	1,38	4,76	2,07	1,52	1,38	6,25	1,45	1,86	1,51	1,91	2,78	3,72	9,26	5,81	7,96
Backhaus 1955	1,69	3,62	1,34	2,44	2,44	1,92	3,34	2,17	2,19	3,27	1,37	1,76	1,43	2,07	4,97	1,43	2,13	1,89	2,73	1,98	3,38	2,32	1,44	1,80	6,63	1,45	2,18	2,22	2,23	2,25	3,91	9,42	6,26	8,34
Serkin 1957	1,70	3,39	1,64	2,62	1,82	1,61	4,11	2,16	3,19	4,12	1,07	2,23	1,53	1,87	5,78	1,00	2,19	2,32	2,90	1,41	3,97	2,55	1,64	1,49	5,70	1,50	2,04	1,71	1,86	2,31	4,00	8,80	6,03	7,74
Gulda 1957	1,45	3,36	2,25	3,10	2,21	1,64	3,18	1,87	3,26	4,00	1,17	1,65	1,94	1,53	7,43	1,26	1,83	1,94	2,94	2,05	3,92	2,49	1,34	1,75	4,30	1,42	2,59	2,26	2,05	2,23	4,50	8,69	5,87	6,50
