	mean (66)		min		max
Theme	1,62	Levit 2015	1,35	Ahonen 2017	2,11
Var. 1	3,30	Varsano 1980	2,44	Richter 1986	4,66
Var. 2	1,62	Webersinke 1965	1,07	Gulda 1957	2,25
Var. 3	2,74	Korstick 2004	2,12	Anda 1961	3,52
Var. 4	2,05	Pludermacher 1985	1,64	Afanassiev 1998	2,61
Var. 5	1,75	Barenboim 1965	1,40	Steuermann 1963	2,17
Var. 6	3,26	Bjørkøe 2011	2,55	Rangell 1977	4,43
Var. 7	2,11	Korstick 2004	1,70	Piazzini 2007	2,58
Var. 8	2,76	Richter 1986	2,00	Rangell 1977	4,00
Var. 9	3,38	Bjørkøe 2011	2,41	Anda 1961	4,45
Var. 10	1,14	Sokolov 1985	0,90	Judina 1961	1,49
Var. 11	2,06	Judina 1961	1,47	Bjørkøe 2011	2,55
Var. 12	1,74	Sokolov 1985	1,36	Lefébure 1975	2,48
Var. 13	1,92	Gulda 1957	1,53	Piazzini 2007	2,36
Var. 14	7,43	Backhaus 1955	4,97	Bjørkøe 2011	11,78
Var. 15	1,15	Ugorski 1991	0,88	Ahonen 2017	1,46
Var. 16	1,88	Korstick 2004	1,48	Torbianelli 2011	2,42
Var. 17	1,90	Korstick 2004	1,51	Serkin 1957	2,32
Var. 18	3,24	Staier 2010	2,19	Bjørkøe 2011	5,41
Var. 19	1,67	Sokolov 1985	1,29	Steuermann 1963	2,07
Var. 20	4,16	Rangell 1977	2,56	Schnabel 1937	6,72
Var. 21	2,41	Shure 1948	1,86	Judina 1961	3,22
Var. 22	1,44	Schnabel 1937	0,95	Ahonen 2017	2,08
Var. 23	1,66	Ugorski 1991	1,26	Torbianelli 2011	2,31
Var. 24	5,60	Gulda 1970	3,63	Pludermacher 1985	7,37
Var. 25	1,48	Ugorski 1991	1,10	Steuermann 1963	1,93
Var. 26	2,34	Richter 1986	1,62	Rangell 1977	3,53
Var. 27	1,90	Barenboim 1965	1,41	Torbianelli 2011	2,59
Var. 28	1,82	Sokolov 1985	1,39	Lefébure 1975	2,54
Var. 29	2,43	Steuermann 1963	1,66	Shure 1948	3,16
Var. 30	3,82	Anda 1961	2,11	Anderszewski 2000	5,03
Var. 31	9,17	Bjørkøe 2011	6,75	Vieru 1996	12,84
Var. 32	5,75	Hill 1990	4,56	Nikolayeva 1979	6,71
Var. 33	7,32	Richter 1986	5,50	Vladar 1991	8,71
