	Schnabel 1937	Shure 1948	Horszowski 1951	Richter 1951	Arrau 1952	Baumgartner 1952	Katchen 1953	Serkin 1954	Backhaus 1955	Serkin 1957	Gulda 1957	Anda 1961	Judina 1961	Steuermann 1963	Brendel 1964	Barenboim 1965	Webersinke 1965	Kovacevich 1968	Sultan 1969	Gulda 1970	Demus 1971	Buchbinder 1973	Lefébure 1975	Brendel 1976	Rangell 1977	Rosen 1977	Nikolayeva 1979	Varsano 1980	Shure 1981	Arrau 1985	Oelbaum 1985	Pludermacher 1985	Sokolov 1985	Richter 1986	Brendel 1988	Boyle 1989	Hill 1990	Ugorski 1991	Vladar 1991	Kinderman 1994	Kontarsky 1996	Vieru 1996	Scherbakov 1997	Afanassiev 1998	Levinas 1998	Pollini 1998	Kurtág 1999	Anderszewski 2000	Battersby 2003_Steinway	Battersby 2003_Fortepiano	Korstick 2004	Piazzini 2007	Walsh 2007	Cooper 2008	Levin 2009	Staier 2010	Bjørkøe 2011	Orth 2011	Torbianelli 2011	Schiff 2012_Bechstein	Schiff 2012_Fortepiano	Yan 2012	Brautigam 2015	Levit 2015	Ahonen 2017	Cooper 2018	mean (66)	max	min									
Theme	00:51	00:50	00:53	00:48	00:51	00:51	00:49	00:51	00:44	00:51	00:40	01:02	00:45	00:46	00:51	00:50	00:47	00:49	00:49	00:41	00:54	00:49	00:54	00:46	00:55	00:50	00:46	00:49	00:53	00:49	00:52	00:45	00:57	00:53	00:47	01:05	00:48	00:53	00:50	00:50	00:46	00:51	01:06	01:01	00:48	00:46	00:53	00:53	00:50	00:50	00:52	00:52	00:46	00:55	00:55	00:49	01:19	00:54	00:49	00:44	00:45	00:45	00:54	00:43	01:02	00:54	00:51	01:19	00:40									
Var. 1	01:39	01:43	01:40	01:30	01:44	01:45	01:16	01:53	01:34	01:43	01:33	02:26	01:37	01:22	01:52	01:58	01:29	01:31	01:40	01:25	02:16	01:35	01:25	01:36	01:33	01:40	01:35	01:16	01:48	01:48	01:46	01:32	02:28	02:24	01:35	01:35	01:34	02:47	02:00	01:45	02:08	02:17	02:07	01:47	01:41	01:40	01:44	01:51	01:22	01:23	01:59	01:18	01:45	01:28	02:00	01:48	02:18	01:34	01:29	01:38	01:39	01:28	01:42	01:50	01:43	01:48	01:44	02:47	01:16									
Var. 2	00:54	00:53	00:54	00:41	01:06	00:54	00:44	01:00	00:35	00:50	01:02	01:00	00:41	00:40	00:47	01:10	00:31	00:39	00:46	00:55	00:45	00:51	00:39	01:00	01:00	01:01	00:36	00:44	00:54	00:55	00:50	00:40	00:54	00:56	00:52	00:57	00:52	00:53	00:47	00:54	00:43	01:03	00:50	01:08	00:54	00:51	00:44	00:54	00:48	00:48	00:49	00:50	00:58	00:50	00:51	00:49	01:08	00:56	00:42	00:49	00:54	00:43	00:49	00:48	00:49	00:56	00:51	01:10	00:31									
Var. 3	01:16	01:18	01:17	01:07	01:35	01:11	01:12	01:28	01:04	01:20	01:25	01:56	01:25	01:14	01:21	01:48	01:14	01:25	01:33	01:25	01:28	01:29	01:12	01:24	01:43	01:29	01:17	01:32	01:22	01:24	01:29	01:14	01:52	01:20	01:16	01:30	01:20	01:36	01:25	01:30	01:30	01:37	01:31	01:54	01:38	01:12	01:31	01:33	01:17	01:16	01:13	01:23	01:33	01:56	01:58	01:14	02:17	01:27	01:07	01:20	01:25	01:29	01:10	01:31	01:17	01:24	01:27	02:17	01:04									
Var. 4	01:02	01:01	00:56	00:55	01:06	00:57	01:03	00:57	01:03	00:55	01:01	01:03	00:58	00:59	00:57	01:03	00:54	00:55	01:06	00:56	01:08	01:10	00:56	01:05	00:55	01:11	01:10	01:10	01:05	01:05	01:00	00:45	01:26	01:01	01:00	01:05	01:08	01:09	01:01	01:03	01:21	01:05	01:06	01:41	01:27	00:59	01:13	01:03	01:03	01:04	01:00	01:01	01:04	01:11	01:22	01:03	01:30	01:11	00:59	01:00	01:02	01:01	00:59	00:58	01:02	01:10	01:05	01:41	00:45									
Var. 5	00:53	00:54	00:50	00:46	00:55	00:56	00:49	00:50	00:50	00:49	00:45	00:55	00:52	00:55	00:54	00:51	00:55	00:53	00:54	00:45	00:56	00:49	00:49	00:53	00:52	00:57	00:58	00:56	00:59	00:58	00:59	00:43	01:14	00:54	00:56	00:58	00:59	00:53	00:56	00:55	00:54	00:56	01:00	01:06	00:54	00:49	01:05	00:58	00:52	00:56	00:50	00:55	01:00	00:57	00:54	00:58	01:07	01:02	00:51	00:59	00:59	00:57	00:53	00:52	01:02	00:58	00:55	01:14	00:43									
Var. 6	01:36	01:39	01:39	01:27	01:36	01:47	01:23	02:05	01:27	02:05	01:27	01:41	01:31	01:39	01:40	01:59	01:38	01:52	01:34	01:20	01:38	01:30	01:27	01:41	02:23	01:40	02:04	01:38	01:47	01:44	02:03	01:19	01:44	01:43	01:41	01:46	01:53	01:50	01:25	01:34	01:37	01:39	01:41	01:52	01:46	01:32	01:49	01:56	01:32	01:35	01:40	01:49	02:00	01:57	01:54	01:35	01:49	01:54	01:48	01:35	01:40	01:27	01:43	01:40	01:33	02:00	01:42	02:23	01:19									
Var. 7	00:56	00:58	00:59	00:56	01:03	00:55	00:57	01:12	00:57	01:05	00:51	01:10	00:55	01:01	01:17	01:03	01:02	01:04	01:09	00:51	01:08	00:58	01:01	01:13	00:57	01:10	01:07	01:02	01:11	01:12	01:24	00:52	01:06	01:10	01:15	01:09	01:15	01:11	01:05	01:12	01:08	01:06	01:06	01:11	01:03	01:15	01:19	01:14	01:02	01:02	00:59	01:17	01:15	01:15	01:12	01:09	01:14	01:07	01:03	01:08	01:13	01:05	01:00	00:59	01:15	01:19	01:06	01:24	00:51									
Var. 8	01:27	01:26	01:29	00:52	01:26	01:12	01:11	01:45	00:57	01:37	01:30	01:37	01:09	01:06	01:25	01:49	01:04	01:36	01:22	01:21	01:16	01:22	01:07	01:39	02:09	01:30	01:12	01:24	01:26	01:36	01:31	01:11	01:41	01:02	01:38	01:14	01:45	01:33	01:38	01:37	01:14	02:07	01:25	01:38	01:25	01:24	01:38	01:25	01:30	01:31	01:19	01:17	01:27	01:35	01:43	01:36	02:25	01:36	01:09	01:28	01:31	01:20	01:09	01:33	01:17	01:32	01:27	02:25	00:52									
Var. 9	02:04	02:01	01:32	01:14	01:41	01:45	01:29	02:08	01:25	02:05	01:50	02:27	01:21	01:23	01:45	01:59	01:34	01:49	01:51	01:50	01:13	01:41	01:30	01:32	01:22	01:53	01:52	01:45	02:13	01:41	02:04	01:38	02:19	01:37	01:42	02:05	01:47	01:45	01:26	01:39	01:38	01:48	01:54	02:28	02:11	01:58	01:50	01:49	01:37	01:37	01:43	01:37	01:47	01:33	02:13	01:46	01:43	01:54	01:30	01:52	01:56	01:34	01:58	01:59	01:30	01:45	01:47	02:28	01:13									
