	Schnabel 1937	Shure 1948	Horszowski 1951	Richter 1951	Arrau 1952	Baumgartner 1952	Katchen 1953	Serkin 1954	Backhaus 1955	Serkin 1957	Gulda 1957	Anda 1961	Judina 1961	Steuermann 1963	Brendel 1964	Barenboim 1965	Webersinke 1965	Kovacevich 1968	Sultan 1969	Gulda 1970	Demus 1971	Buchbinder 1973	Lefébure 1975	Brendel 1976	Rangell 1977	Rosen 1977	Nikolayeva 1979	Varsano 1980	Shure 1981	Arrau 1985	Oelbaum 1985	Pludermacher 1985	Sokolov 1985	Richter 1986	Brendel 1988	Boyle 1989	Hill 1990	Ugorski 1991	Vladar 1991	Kinderman 1994	Kontarsky 1996	Vieru 1996	Scherbakov 1997	Afanassiev 1998	Levinas 1998	Pollini 1998	Kurtág 1999	Anderszewski 2009	Battersby 2003_Steinway	Battersby 2003_Fortepiano	Korstick 2004	Piazzini 2007	Walsh 2007	Cooper 2008	Levin 2009	Staier 2010	Bjørkøe 2011	Orth 2011	Torbianelli 2011	Schiff 2012_Bechstein	Schiff 2012_Fortepiano	Yan 2012	Brautigam 2015	Levit 2015	Ahonen 2017	Cooper 2018	mean (66)	max	min	std. dev. %
Theme	77.0	81.6	70.8	81.2	76.4	76.7	79.7	78.3	88.5	74.5	100.2	62.3	84.4	81.9	81.1	83.6	87.0	79.2	79.5	96.4	72.0	82.8	74.8	88.3	77.2	76.8	83.2	82.8	76.6	80.8	75.1	85.3	72.2	72.8	87.5	62.9	83.1	75.1	83.8	78.2	84.1	81.4	59.9	64.9	83.9	87.4	76.9	77.2	80.0	79.9	76.4	77.0	87.2	71.9	70.7	85.1	48.5	76.7	82.7	94.4	93.7	93.8	76.6	89.9	64.1	75.5	79.3	100.2	48.5	11.1
Var. 1	77.5	77.3	79.3	79.7	74.9	79.9	100.0	65.0	79.5	70.0	87.0	58.2	79.4	97.2	73.0	68.2	86.5	86.4	80.5	91.8	57.7	83.8	104.8	81.5	89.0	79.1	85.2	103.2	74.6	73.2	73.8	85.7	49.3	54.6	84.4	83.7	90.1	51.9	69.5	76.6	62.2	63.6	63.2	73.1	77.1	77.3	76.1	71.5	89.5	91.8	65.1	107.7	78.0	90.2	64.3	72.6	63.7	79.8	84.0	81.6	81.7	92.1	79.1	74.1	77.5	76.3	78.1	107.7	49.3	15.4
Var. 2	56.4	56.7	55.4	70.6	46.2	55.7	69.9	53.7	84.5	61.9	47.4	51.5	77.1	77.7	60.8	44.1	101.9	71.4	67.2	53.1	64.6	58.6	77.8	48.7	49.2	45.6	85.1	68.8	56.3	57.1	62.5	69.3	57.0	54.5	55.0	56.7	59.3	57.6	66.7	52.6	71.2	51.6	58.9	48.8	58.5	56.5	71.4	54.3	62.6	63.1	63.4	62.4	53.7	64.1	58.2	60.5	49.1	61.8	67.3	59.4	57.8	71.1	61.3	60.2	58.1	55.4	61.0	101.9	44.1	16.8
Var. 3	56.3	52.4	48.8	58.2	43.1	56.6	56.8	47.3	58.6	50.7	47.5	35.6	48.9	54.8	51.8	37.9	59.9	49.6	44.3	51.3	46.6	45.7	56.7	45.8	40.4	42.4	50.8	46.2	50.5	52.9	51.2	54.0	39.8	49.3	53.6	48.8	49.4	48.7	46.9	44.7	48.5	43.3	43.0	37.1	42.8	54.1	44.9	45.8	54.2	54.0	55.2	52.7	42.7	35.4	31.9	53.4	29.4	46.0	58.3	53.1	49.9	49.5	58.7	44.7	51.0	49.0	48.5	59.9	29.4	13.6
Var. 4	62.0	63.8	63.7	67.6	62.6	68.3	57.2	67.4	71.5	69.7	63.6	58.9	64.9	67.5	67.3	63.3	72.4	68.4	59.0	67.8	52.5	56.1	68.6	59.5	67.6	54.1	54.8	56.5	62.7	64.9	65.1	82.5	49.8	62.3	64.5	63.2	57.0	60.0	65.7	60.8	46.3	59.6	57.8	39.2	43.4	66.3	52.2	61.7	59.0	58.8	65.1	62.2	62.8	52.4	48.6	62.6	46.2	62.8	64.3	66.2	63.6	64.2	66.9	66.4	61.1	58.9	61.4	82.5	39.2	11.8
Var. 5	72.6	74.9	77.7	83.3	72.6	72.4	76.6	79.5	79.6	82.7	87.1	69.9	74.6	74.5	76.2	81.7	69.4	72.4	73.8	87.3	71.4	78.9	84.2	80.2	75.1	62.4	68.7	77.6	67.1	72.3	70.9	96.0	60.2	77.5	78.8	69.7	72.7	85.5	75.1	70.8	76.7	77.8	63.4	61.2	77.3	80.4	66.1	69.0	75.0	72.9	80.6	77.0	69.5	76.3	71.4	69.9	60.5	68.1	88.8	70.9	70.5	71.8	77.9	80.5	69.2	73.5	74.7	96.0	60.2	9.2
Var. 6	121.7	114.5	119.9	142.9	123.6	115.3	142.1	89.7	131.8	93.2	128.8	129.3	128.6	111.3	120.7	104.5	119.1	103.0	131.5	140.6	108.6	126.9	134.8	120.6	88.4	116.8	96.9	121.1	108.0	123.1	93.2	140.9	112.4	117.1	120.7	120.4	107.7	92.0	136.8	118.4	119.2	115.0	110.0	108.4	107.8	125.7	108.9	96.2	125.2	121.2	119.3	111.9	105.1	104.8	103.9	126.0	116.1	117.4	101.8	127.2	128.8	139.9	114.1	112.0	135.2	96.3	116.9	142.9	88.4	11.6
Var. 7	213.4	205.7	203.1	207.6	187.3	212.4	201.8	169.2	203.0	184.4	227.2	185.7	211.9	200.1	152.4	190.0	189.3	181.3	177.8	236.3	166.6	197.5	207.0	153.4	207.5	165.6	185.8	197.6	167.5	171.6	146.1	209.2	180.4	169.2	149.0	177.4	153.6	178.1	185.6	159.9	170.8	192.8	176.8	169.8	186.3	157.6	150.7	156.1	197.8	200.0	210.7	155.8	162.6	159.6	150.4	169.2	170.6	183.6	187.7	174.3	163.3	183.1	198.8	207.0	162.8	150.7	182.1	236.3	146.1	11.7
Var. 8	46.7	47.5	45.3	75.8	47.8	58.4	58.1	42.0	70.5	47.4	45.3	44.8	59.5	62.5	52.7	40.7	64.3	45.9	50.1	50.6	52.2	48.1	65.6	43.4	33.4	44.1	58.9	50.2	46.4	44.7	46.6	55.6	44.6	68.1	43.1	63.3	40.1	56.9	42.6	42.3	57.3	28.6	48.1	44.2	48.7	47.7	41.6	51.2	44.2	43.3	51.4	49.6	46.2	44.2	36.1	42.0	29.1	42.9	60.0	46.6	44.2	55.2	61.6	48.5	50.4	47.4	49.3	75.8	28.6	18.4
Var. 9	133.1	136.0	167.6	207.2	159.6	157.4	177.9	127.4	175.1	125.8	141.4	110.3	183.5	185.5	161.1	138.0	165.3	143.2	148.3	142.4	211.4	153.6	172.3	182.6	202.8	137.0	146.6	150.6	128.5	156.8	128.6	152.7	116.0	174.1	159.4	135.6	152.2	149.1	187.1	157.5	162.6	144.4	137.2	103.0	118.9	133.7	149.2	145.0	160.8	162.4	149.5	157.1	150.4	162.5	112.2	144.9	170.1	144.8	177.7	142.9	138.2	149.3	131.5	128.8	174.5	154.1	152.2	211.4	103.0	14.6
