	mean (66)		min		max
Theme	79,3	Bjørkøe 2011	48,5	Gulda 1957	100,2
Var. 1	78,1	Sokolov 1985	49,3	Piazzini 2007	107,7
Var. 2	61,0	Barenboim 1965	44,1	Webersinke 1965	101,9
Var. 3	48,5	Bjørkøe 2011	29,4	Webersinke 1965	59,9
Var. 4	61,4	Afanassiev 1998	39,2	Pludermacher 1985	82,5
Var. 5	74,7	Sokolov 1985	60,2	Pludermacher 1985	96,0
Var. 6	116,9	Rangell 1977	88,4	Richter 1951	142,9
Var. 7	182,1	Oelbaum 1985	146,1	Gulda 1970	236,3
Var. 8	49,3	Vieu 1996	28,6	Richter 1951	75,8
Var. 9	152,2	Afanassiev 1998	103,0	Demus 1971	211,4
Var. 10	115,1	Bjørkøe 2011	95,0	Barenboim 1965	131,6
Var. 11	134,8	Bjørkøe 2011	78,5	Judina 1961	221,0
Var. 12	165,9	Bjørkøe 2011	87,2	Judina 1962	230,3
Var. 13	70,6	Bjørkøe 2011	46,8	Gulda 1957	93,6
Var. 14	35,8	Bjørkøe 2011	15,8	Backhaus 1955	59,8
Var. 15	113,1	Kurtág 1999	95,0	Serkin 1957	140,3
Var. 16	138,3	Kurtág 1999	107,2	Shure 1948	162,7
Var. 17	138,3	Kurtág 1999	111,0	Backhaus 1955 / Pludermacher 1985	162,4
Var. 18	113,3	Bjørkøe 2011	45,9	Pludermacher 1985	164,4
Var. 19	79,4	Anderszewski 2000	61,8	Serkin 1957	95,4
Var. 20	35,9	Shure 1948	21,9	Judina 1961 / Lefébure 1975	58,1
Var. 21[a]	165,2	Bjørkøe 2011	86,5	Shure 1948	199,7
Var. 21[b]	121,0	Ugorski 1991	69,1	Gulda 1970	179,4
Var. 22	100,1	Anda 1961	66,8	Schnabel 1937	149,6
Var. 23	153,9	Kurtág 1999	125,8	Serkin 1954	180,0
Var. 24	75,0	Levin 2009	51,0	Gulda 1970	126,1
Var. 25	83,3	Sokolov 1985	63,1	Pludermacher 1985	105,5
Var. 26	56,7	Hill 1990	33,9	Richter 1951	87,3
Var. 27	66,0	Bjørkøe 2011	49,8	Serkin 1954	82,7
Var. 28	141,2	Kurtág 1999	99,9	Vladar 1991	183,2
Var. 29	31,5	Ugorski 1991	20,9	Steuermann 1963	51,3
Var. 30	48,0	Anderszewski 2000	27,9	Anda 1961	77,8
Var. 31	16,5	Vieru 1996	9,2	Torbianelli 2011	23,2
Var. 32	134,7	Sokolov 1985	103,6	Shure 1948	175,2
Var. 33	66,6	Afanassiev 1998	42,9	Richter 1951	93,1
